=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 156           | INICIANDO
CICLO 269: PC=50 | LW R2, 0(FP)         | INICIANDO
CICLO 270: PC=50 | LW R2, 0(FP)         | R2 = MEM[253] = 0
    ESTADO: R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R15=10, R16=5, R17=1, R19=156, R20=10, R21=10, R22=1, GP=156, SP=253, FP=253

CICLO 271: PC=51 | ADD R23, R2, R22     | INICIANDO
CICLO 272: PC=51 | ADD R23, R2, R22     | R23 = R2 + R22 = 0 + 1 = 1
CICLO 273: PC=52 | MOVE R2, R23         | INICIANDO
CICLO 274: PC=52 | MOVE R2, R23         | R2 = R23 = 1 (era 0)
CICLO 275: PC=53 | SW R2, 0(FP)         | INICIANDO
CICLO 276: PC=53 | SW R2, 0(FP)         | MEM[253] = R2 = 1
CICLO 277: PC=54 | J 36                 | INICIANDO
CICLO 278: PC=36 | J 36                 | Jump to 36
CICLO 279: PC=36 | LI R16, 5            | INICIANDO
CICLO 280: PC=36 | LI R16, 5            | R16 = 5
    ESTADO: R2=1, R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R15=10, R16=5, R17=1, R19=156, R20=10, R21=10, R22=1, R23=1, GP=156, SP=253, FP=253

CICLO 281: PC=37 | LW R2, 0(FP)         | INICIANDO
CICLO 282: PC=37 | LW R2, 0(FP)         | R2 = MEM[253] = 1
CICLO 283: PC=38 | SLT R17, R2, R16     | INICIANDO
CICLO 284: PC=38 | SLT R17, R2, R16     | R17 = (R2 < R16) = (1 < 5) = 1
CICLO 285: PC=39 | BEQ R17, R0, 55      | INICIANDO
CICLO 286: PC=39 | BEQ R17, R0, 55      | R17(1) == R0(0) -> Continue
CICLO 287: PC=40 | LW R2, 0(FP)         | INICIANDO
CICLO 288: PC=40 | LW R2, 0(FP)         | R2 = MEM[253] = 1
CICLO 289: PC=41 | SLL R18, R2, 2       | INICIANDO
CICLO 290: PC=41 | SLL R18, R2, 2       | R18 = R2 << 2 = 1 << 2 = 4
    ESTADO: R2=1, R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R15=10, R16=5, R17=1, R18=4, R19=156, R20=10, R21=10, R22=1, R23=1, GP=156, SP=253, FP=253

CICLO 291: PC=42 | ADDI R19, GP, 0      | INICIANDO
CICLO 292: PC=42 | ADDI R19, GP, 0      | R19 = R28(156) + 0 = 156 (era 156)
CICLO 293: PC=43 | ADD R19, R19, R18    | INICIANDO
CICLO 294: PC=43 | ADD R19, R19, R18    | R19 = R19 + R18 = 160 + 4 = 160
CICLO 295: PC=44 | LW R20, 0(R19)       | INICIANDO
CICLO 296: PC=44 | LW R20, 0(R19)       | R20 = MEM[160] = 20
CICLO 297: PC=45 | LW R15, 1(FP)        | INICIANDO
CICLO 298: PC=45 | LW R15, 1(FP)        | R15 = MEM[254] = 10
CICLO 299: PC=46 | ADD R21, R15, R20    | INICIANDO
CICLO 300: PC=46 | ADD R21, R15, R20    | R21 = R15 + R20 = 10 + 20 = 30
    ESTADO: R2=1, R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R15=10, R16=5, R17=1, R18=4, R19=160, R20=20, R21=30, R22=1, R23=1, GP=156, SP=253, FP=253

CICLO 301: PC=47 | MOVE R15, R21        | INICIANDO
CICLO 302: PC=47 | MOVE R15, R21        | R15 = R21 = 30 (era 10)
CICLO 303: PC=48 | SW R15, 1(FP)        | INICIANDO
CICLO 304: PC=48 | SW R15, 1(FP)        | MEM[254] = R15 = 30
CICLO 305: PC=49 | LI R22, 1            | INICIANDO
CICLO 306: PC=49 | LI R22, 1            | R22 = 1
CICLO 307: PC=50 | LW R2, 0(FP)         | INICIANDO
CICLO 308: PC=50 | LW R2, 0(FP)         | R2 = MEM[253] = 1
CICLO 309: PC=51 | ADD R23, R2, R22     | INICIANDO
