=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: [3]
============================================================

CICLO   1: PC= 0 | LI GP, 136           | INICIANDO
CICLO 184: PC=29 | MULT R7, R2, R6      | R7 = R2 * R6 = 2 * 1 = 2
CICLO 185: PC=30 | MOVE R1, R7          | INICIANDO
CICLO 186: PC=30 | MOVE R1, R7          | R1 = R7 = 2 (era 1)
CICLO 187: PC=31 | ADDI SP, FP, 4       | INICIANDO
CICLO 188: PC=31 | ADDI SP, FP, 4       | R29 = R30(241) + 4 = 245 (era 245)
CICLO 189: PC=32 | SUBI R2, SP, 2       | INICIANDO
CICLO 190: PC=32 | SUBI R2, SP, 2       | R2 = R29(245) - 2 = 243 (era 2)
    ESTADO: R1=2, R2=243, R3=1, R6=1, R7=2, R8=3, GP=136, SP=245, FP=241, RA=27

CICLO 191: PC=33 | LW FP, 0(R2)         | INICIANDO
CICLO 192: PC=33 | LW FP, 0(R2)         | R30 = MEM[243] = 249
CICLO 193: PC=34 | SUBI R2, SP, 1       | INICIANDO
CICLO 194: PC=34 | SUBI R2, SP, 1       | R2 = R29(245) - 1 = 244 (era 243)
CICLO 195: PC=35 | LW RA, 0(R2)         | INICIANDO
CICLO 196: PC=35 | LW RA, 0(R2)         | R31 = MEM[244] = 27
CICLO 197: PC=36 | ADDI SP, SP, 8       | INICIANDO
CICLO 198: PC=36 | ADDI SP, SP, 8       | R29 = R29(253) + 8 = 253 (era 245)
CICLO 199: PC=37 | JR RA                | INICIANDO
CICLO 200: PC=27 | JR RA                | Jump to R31 = 27
    ESTADO: R1=2, R2=244, R3=1, R6=1, R7=2, R8=3, GP=136, SP=253, FP=249, RA=27

CICLO 201: PC=27 | MOVE R6, R1          | INICIANDO
CICLO 202: PC=27 | MOVE R6, R1          | R6 = R1 = 2 (era 1)
CICLO 203: PC=28 | LW R2, 0(FP)         | INICIANDO
CICLO 204: PC=28 | LW R2, 0(FP)         | R2 = MEM[249] = 3
CICLO 205: PC=29 | MULT R7, R2, R6      | INICIANDO
CICLO 206: PC=29 | MULT R7, R2, R6      | R7 = R2 * R6 = 3 * 2 = 6
CICLO 207: PC=30 | MOVE R1, R7          | INICIANDO
